file_type,file_number,file_date,documents,documents_xml,interactive_data,filing_number
10-Q,001-36743231141522,2023-08-04,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-23-000077&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674323890444,2023-05-05,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/0000320193-23-000064-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-23-000064&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674323582662,2023-02-03,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/0000320193-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-23-000006&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-36743221116600,2022-07-29,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/0000320193-22-000070-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-22-000070&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674322868650,2022-04-29,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/0000320193-22-000059-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-22-000059&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674322564628,2022-01-28,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/0000320193-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-22-000007&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-36743211119137,2021-07-28,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/0000320193-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-21-000065&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674321866148,2021-04-29,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/0000320193-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-21-000056&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674321561251,2021-01-28,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/0000320193-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-21-000010&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-36743201062122,2020-07-31,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/0000320193-20-000062-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-20-000062&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674320837377,2020-05-01,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/0000320193-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-20-000052&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674320555794,2020-01-29,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/0000320193-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-20-000010&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674319989192,2019-07-31,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/0000320193-19-000076-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-19-000076&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
10-Q,001-3674319788072,2019-05-01,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/0000320193-19-000066-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=320193&accession_number=0000320193-19-000066&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-36743&owner=exclude&count=100
