file_type,file_number,file_date,documents,documents_xml,interactive_data,filing_number
10-Q,001-3784523844923,2023-04-25,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0000950170-23-014423&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-3784523548555,2023-01-24,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/0001564590-23-000733-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-23-000733&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-37845221329593,2022-10-25,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/0001564590-22-035087-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-22-035087&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-3784522854390,2022-04-26,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/0001564590-22-015675-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-22-015675&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-3784522554019,2022-01-25,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/0001564590-22-002324-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-22-002324&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-37845211348546,2021-10-26,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/0001564590-21-051992-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-21-051992&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-3784521859007,2021-04-27,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/0001564590-21-020891-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-21-020891&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-3784521554140,2021-01-26,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/0001564590-21-002316-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-21-002316&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-37845201264355,2020-10-27,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/0001564590-20-047996-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-20-047996&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
10-Q,001-3784520830395,2020-04-29,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/0001564590-20-019706-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/FilingSummary.xml,https://www.sec.gov/cgi-bin/viewer?action=view&cik=789019&accession_number=0001564590-20-019706&xbrl_type=v,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&filenum=001-37845&owner=exclude&count=100
